index,mae,mse,mdae,mare %,mdare %
count,5.0,5.0,5.0,5.0,5.0
mean,6.7288726,79.39903840000001,5.9922515999999995,2.579801082611084,2.2221818938851357
std,1.8847757423152438,61.25341093484144,1.372806620470332,0.8693356196106432,0.5269110436454103
min,5.159773,41.04319,4.5103455,1.9101280719041824,1.6678960993885994
25%,5.41479,43.32708,5.125183,2.1424993872642517,1.9052306190133097
50%,6.5789666,59.144222,5.8733215,2.2962287068367004,2.211918868124485
75%,6.6025004,66.14783,6.351242,2.4577438831329346,2.2665586322546005
max,9.888333,187.33287,8.101166,4.092405363917351,3.059305250644684
