index,mae,mse,mdae,mare %,mdare %
count,5.0,5.0,5.0,5.0,5.0
mean,4.750383319999999,46.1791678,3.33693388,2.9498934745788574,2.2334404289722443
std,1.0824041819857622,25.55833976669232,0.7449541859160046,0.6333848721771421,0.5941114747827348
min,3.767978,29.87652,2.5403366,2.402810752391815,1.5959883108735085
25%,4.1535378,31.349062,2.64122,2.503753826022148,1.7243310809135437
50%,4.2704053,32.593124,3.3452148,2.634444460272789,2.170260064303875
75%,5.067797,46.827503,4.0784607,3.3298689872026443,2.7654867619276047
max,6.4921985,90.24963,4.0794373,3.8785893470048904,2.9111359268426895
