index,mae,mse,mdae,mare %,mdare %
count,5.0,5.0,5.0,5.0,5.0
mean,3.65489184,30.2613882,2.48077086,1.297486862167716,0.8670486230403185
std,0.982962559576301,13.391888624766457,0.595185389732164,0.3517417787084067,0.2180301853384652
min,2.147619,10.482755,1.625061,0.7411822210997343,0.5363691132515669
25%,3.4562929,26.20527,2.3255005,1.2727808207273483,0.8419735357165337
50%,3.7802038,31.254784,2.4221344,1.2997103855013847,0.8560208603739738
75%,4.0651975,36.789536,2.8092346,1.4938706532120705,0.9704876691102982
max,4.825146,46.574596,3.2219238,1.6798902302980423,1.13039193674922
