index,mae,mse,mdae,mare %,mdare %
count,5.0,5.0,5.0,5.0,5.0
mean,6.21384836,115.0083332,4.07743832,3.4048953652381897,2.406228370964527
std,1.3142255267041378,71.10815651497695,0.4478012576532105,0.3498591866108866,0.1556719943724009
min,4.936712,56.832253,3.4927063,3.043344058096409,2.229607850313186
25%,5.0804534,59.340797,3.7133636,3.112069331109524,2.2609617561101913
50%,6.386354,85.721306,4.263153,3.4254897385835648,2.441476099193096
75%,6.4787664,150.2334,4.4273834,3.5322152078151703,2.515530399978161
max,8.186956,222.91391,4.4905853,3.911358490586281,2.5835657492280006
